央视频道,#genre#
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8

兵器科技,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226975/1.m3u8

怀旧剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/1.m3u8

世界地理,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226947/1.m3u8

文化精品,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226981/1.m3u8

央视台球,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226956/1.m3u8

央视高网,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226978/1.m3u8

风云剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226950/1.m3u8

风云音乐,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226953/1.m3u8

第一剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226959/1.m3u8

女性时尚,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226969/1.m3u8

风云足球,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226984/1.m3u8

广东频道,#genre#
广东卫视,http://www.namewee.xyz/gudou.php?id=1401_4500#https://tcdn.itouchtv.cn/live/gdws.m3u8?#http://222.71.90.218:8888/newlive/live/hls/23/live.m3u8

广东体育,http://www.namewee.xyz/gudou.php?id=1413_4500#

广东珠江,http://www.namewee.xyz/gudou.php?id=1437_4500#https://tcdn.itouchtv.cn/live/gdzj.m3u8?

广东民生,http://www.namewee.xyz/gudou.php?id=1455_4500#https://tcdn.itouchtv.cn/live/gdgg.m3u8?

广东岭南戏曲,http://www.namewee.xyz/gudou.php?id=1460#https://tcdn.itouchtv.cn/live/lnxq.m3u8?

深圳都市,http://livepull-tcyzb.sztv.com.cn/showto_live/dushi01.m3u8#http://222.71.90.218:8888/newlive/live/hls/24/live.m3u8

广州综合,http://www.namewee.xyz/gudou.php?id=1432_4500

广州新闻,http://www.namewee.xyz/gudou.php?id=1433_4500#https://tencentplaygsm.gztv.com/live/zonghes.m3u8#https://tencentplaygsm.gztv.com/live/xinwen.m3u8#https://tencentplaygsm.gztv.com/live/zonghes.m3u8#https://tencentplaygsm.gztv.com/live/xinwen.m3u8

中国气象,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8



